#	This file was generated on 2024-01-10 at 11:39:19
#	by Softerra LDAP Browser 4.5 [ http://www.ldapadministrator.com ]
DN;createTimeStamp;modifyTimeStamp;structuralObjectClass;subSchemaSubEntry;cn;givenName
"OU=Utilisateurs,OU=Toulouse,OU=Finances,DC=stesio,DC=jol";"22/12/2019 22:55:11";"03/01/2021 14:03:34";"top,organizationalUnit";"CN=Aggregate\,CN=Schema\,CN=Configuration\,DC=stesio\,DC=jol"
"CN=RUIZ Charlotte,OU=Utilisateurs,OU=Toulouse,OU=Finances,DC=stesio,DC=jol";"22/12/2019 22:56:32";"22/12/2019 22:57:15";"top,person,organizationalPerson,user";"CN=Aggregate\,CN=Schema\,CN=Configuration\,DC=stesio\,DC=jol";"RUIZ Charlotte";"Charlotte"
"CN=SAMSON Noemie,OU=Utilisateurs,OU=Toulouse,OU=Finances,DC=stesio,DC=jol";"22/12/2019 22:56:32";"22/12/2019 22:57:15";"top,person,organizationalPerson,user";"CN=Aggregate\,CN=Schema\,CN=Configuration\,DC=stesio\,DC=jol";"SAMSON Noemie";"Noemie"
"CN=BONHOMME Myrtille,OU=Utilisateurs,OU=Toulouse,OU=Finances,DC=stesio,DC=jol";"22/12/2019 22:56:33";"22/12/2019 22:57:15";"top,person,organizationalPerson,user";"CN=Aggregate\,CN=Schema\,CN=Configuration\,DC=stesio\,DC=jol";"BONHOMME Myrtille";"Myrtille"
"CN=LELEU Arthur,OU=Utilisateurs,OU=Toulouse,OU=Finances,DC=stesio,DC=jol";"22/12/2019 22:56:33";"22/12/2019 22:57:15";"top,person,organizationalPerson,user";"CN=Aggregate\,CN=Schema\,CN=Configuration\,DC=stesio\,DC=jol";"LELEU Arthur";"Arthur"
"CN=BRIERE Emilie,OU=Utilisateurs,OU=Toulouse,OU=Finances,DC=stesio,DC=jol";"22/12/2019 22:56:33";"22/12/2019 22:57:15";"top,person,organizationalPerson,user";"CN=Aggregate\,CN=Schema\,CN=Configuration\,DC=stesio\,DC=jol";"BRIERE Emilie";"Emilie"
"CN=AUVRAY Charlotte,OU=Utilisateurs,OU=Toulouse,OU=Finances,DC=stesio,DC=jol";"22/12/2019 22:56:33";"22/12/2019 22:57:15";"top,person,organizationalPerson,user";"CN=Aggregate\,CN=Schema\,CN=Configuration\,DC=stesio\,DC=jol";"AUVRAY Charlotte";"Charlotte"
"CN=PAGE Noemie,OU=Utilisateurs,OU=Toulouse,OU=Finances,DC=stesio,DC=jol";"22/12/2019 22:56:33";"22/12/2019 22:57:15";"top,person,organizationalPerson,user";"CN=Aggregate\,CN=Schema\,CN=Configuration\,DC=stesio\,DC=jol";"PAGE Noemie";"Noemie"
"CN=PORTIER Malcom,OU=Utilisateurs,OU=Toulouse,OU=Finances,DC=stesio,DC=jol";"22/12/2019 22:56:34";"22/12/2019 22:57:15";"top,person,organizationalPerson,user";"CN=Aggregate\,CN=Schema\,CN=Configuration\,DC=stesio\,DC=jol";"PORTIER Malcom";"Malcom"
"CN=VERGNE Arthur,OU=Utilisateurs,OU=Toulouse,OU=Finances,DC=stesio,DC=jol";"22/12/2019 22:56:34";"22/12/2019 22:57:15";"top,person,organizationalPerson,user";"CN=Aggregate\,CN=Schema\,CN=Configuration\,DC=stesio\,DC=jol";"VERGNE Arthur";"Arthur"
"CN=BERNARD Michael,OU=Utilisateurs,OU=Toulouse,OU=Finances,DC=stesio,DC=jol";"22/12/2019 22:56:30";"22/12/2019 22:57:15";"top,person,organizationalPerson,user";"CN=Aggregate\,CN=Schema\,CN=Configuration\,DC=stesio\,DC=jol";"BERNARD Michael";"Michael"
